FID,ID_POP_DOMIC_BAIRRO_2022,NUM_BAIRRO,BAIRRO,AREA_KM,POPULACAO,DOMICILIOS
POP_DOMIC_BAIRRO_2022.247,247,1170,Novo Aarão Reis,0.5521294,7606.0,3025.0
POP_DOMIC_BAIRRO_2022.131,131,751,Pompéia,0.59090431,5246.0,2276.0
POP_DOMIC_BAIRRO_2022.5,5,605,Álvaro Camargos,0.20626275,1143.0,464.0
POP_DOMIC_BAIRRO_2022.267,267,1267,Acaiaca,0.3817535,2921.0,1156.0
POP_DOMIC_BAIRRO_2022.346,346,1353,Mariquinhas,0.14645162,2858.0,992.0
POP_DOMIC_BAIRRO_2022.156,156,780,São Bernardo,0.94451444,8092.0,3316.0
POP_DOMIC_BAIRRO_2022.203,203,830,Aeroporto,2.33147504,1617.0,948.0
POP_DOMIC_BAIRRO_2022.253,253,1238,Ouro Minas,0.52530316,5096.0,2104.0
POP_DOMIC_BAIRRO_2022.78,78,692,Horto,0.38408551,3089.0,1537.0
POP_DOMIC_BAIRRO_2022.17,17,622,Bonfim,0.87964007,4010.0,2186.0
POP_DOMIC_BAIRRO_2022.306,306,1310,Conjunto Jardim Filadélfia,0.10550728,2623.0,995.0
POP_DOMIC_BAIRRO_2022.31,31,636,Carlos Prates,1.76982837,12904.0,6756.0
POP_DOMIC_BAIRRO_2022.25,25,630,Califórnia,3.41579203,6774.0,3353.0
POP_DOMIC_BAIRRO_2022.28,28,633,Campus UFMG,3.85176021,,
POP_DOMIC_BAIRRO_2022.35,35,640,São José,0.30844012,1536.0,751.0
POP_DOMIC_BAIRRO_2022.472,472,1481,Vitória,0.40771333,4496.0,1880.0
POP_DOMIC_BAIRRO_2022.325,325,1329,Guanabara,0.00172552,73.0,29.0
POP_DOMIC_BAIRRO_2022.208,208,835,Confisco,0.27599167,4089.0,1451.0
POP_DOMIC_BAIRRO_2022.290,290,1293,Boa União I,0.00694023,105.0,60.0
POP_DOMIC_BAIRRO_2022.211,211,907,Suzana,0.45160736,1758.0,781.0
POP_DOMIC_BAIRRO_2022.160,160,784,São Geraldo,1.32517395,12150.0,5090.0
POP_DOMIC_BAIRRO_2022.111,111,729,Nova Esperança,0.44371745,4087.0,1841.0
POP_DOMIC_BAIRRO_2022.401,401,1410,Vila Boa Vista,0.02776767,759.0,273.0
POP_DOMIC_BAIRRO_2022.413,413,1422,Vila Engenho Nogueira,0.0157583,193.0,82.0
POP_DOMIC_BAIRRO_2022.644,644,2034,Tiradentes,0.67729765,779.0,345.0
POP_DOMIC_BAIRRO_2022.645,645,2035,Montes Claros,0.69047561,3481.0,1376.0
POP_DOMIC_BAIRRO_2022.646,646,2036,Jardim Liberdade,0.53335146,3306.0,1285.0
POP_DOMIC_BAIRRO_2022.258,258,1246,Alto Vera Cruz,0.87448184,18941.0,7303.0
POP_DOMIC_BAIRRO_2022.257,257,1245,Granja de Freitas,0.86239441,6780.0,2584.0
POP_DOMIC_BAIRRO_2022.186,186,811,Vera Cruz,0.44834686,3564.0,1538.0
POP_DOMIC_BAIRRO_2022.647,647,2037,Vila Horto Florestal,0.00485396,76.0,25.0
POP_DOMIC_BAIRRO_2022.648,648,2038,Vila Trevo,0.01420174,334.0,126.0
